year_f,mean_lst,.lower,.upper,.width,.point,.interval,year
1978,17.47407810031095,15.751485046914171,19.288934897395908,0.8,median,qi,1978
1979,17.376301263186708,15.515265274477649,19.250801068455072,0.8,median,qi,1979
1980,16.19833888806805,14.156345709638806,18.26711108389039,0.8,median,qi,1980
1981,17.34175936675289,15.379915887932137,19.337624726620806,0.8,median,qi,1981
1982,17.46300502074628,15.482861740824346,19.439346937673616,0.8,median,qi,1982
1983,17.623523637869596,15.42680291449463,19.826444406981032,0.8,median,qi,1983
1984,17.63245109713692,16.616677572176698,18.679040565593898,0.8,median,qi,1984
1985,18.409321160601824,17.534463423118872,19.307850527710126,0.8,median,qi,1985
1986,19.20568291433781,18.358433335974453,20.04788440826587,0.8,median,qi,1986
1987,16.207130565040558,15.372119610011943,17.05539028866915,0.8,median,qi,1987
1988,20.294262739352842,19.498114494429114,21.104728315898168,0.8,median,qi,1988
1989,20.515915719707642,19.722569383018453,21.337922767087147,0.8,median,qi,1989
1990,19.913189339588797,19.116715582265012,20.736357910862438,0.8,median,qi,1990
1991,18.566356656002398,17.77976489322859,19.357479145142815,0.8,median,qi,1991
1992,18.955315268735024,18.139638819438606,19.776263234677405,0.8,median,qi,1992
1993,20.166456674989096,19.367919750347454,20.98014162969959,0.8,median,qi,1993
1994,17.765377993045508,16.887309451234476,18.68120621488727,0.8,median,qi,1994
1995,18.595603709237924,17.78359546652397,19.416538863361342,0.8,median,qi,1995
1996,19.479706977391455,18.67002478290371,20.326282317360576,0.8,median,qi,1996
1997,19.852889242827352,19.037486747098452,20.691682571253995,0.8,median,qi,1997
1998,22.08765668549318,20.93518330125426,23.214175935138684,0.8,median,qi,1998
1999,19.556987996486697,18.77531808374579,20.356915451612117,0.8,median,qi,1999
2000,20.00847476757158,19.195257848360193,20.856189734186064,0.8,median,qi,2000
2001,19.36965601132869,18.60331086084068,20.165482354962982,0.8,median,qi,2001
2002,22.21922902340134,21.42397307335531,23.035246983924523,0.8,median,qi,2002
2003,20.66680475655813,19.837611185976574,21.508476156245614,0.8,median,qi,2003
2004,19.680253925278755,18.87862007735231,20.508141110459192,0.8,median,qi,2004
2005,20.618534108800915,19.82442264405003,21.40622642395987,0.8,median,qi,2005
2006,20.687980988161115,19.90643750314865,21.489460693962634,0.8,median,qi,2006
2007,20.591365046235243,19.77589220863736,21.417005446618628,0.8,median,qi,2007
2008,19.119675308418536,18.293340094596253,19.948213409144575,0.8,median,qi,2008
2009,19.999264383792507,19.208141064667252,20.80069278261591,0.8,median,qi,2009
2010,21.23340162551322,20.408386708454763,22.0916290996949,0.8,median,qi,2010
2011,19.07626590881921,18.27353072626008,19.897132012494232,0.8,median,qi,2011
2012,17.847233714964702,16.97237806447529,18.745500782208946,0.8,median,qi,2012
2013,17.919663031042443,17.115777015592787,18.746194514167943,0.8,median,qi,2013
2014,19.014092498820474,18.227143815601394,19.805530174702014,0.8,median,qi,2014
2015,17.72374226761034,16.94988138531239,18.527920138134018,0.8,median,qi,2015
2016,18.26892930409321,17.499714554138034,19.0625313359194,0.8,median,qi,2016
2017,16.597951813881693,15.835521024501821,17.406579732223737,0.8,median,qi,2017
2018,19.798274865489823,18.98863587294127,20.6125170417751,0.8,median,qi,2018
2019,18.742031602449963,17.953475668460474,19.546355764999788,0.8,median,qi,2019
2020,17.94330267338094,17.172924868054327,18.753211840947518,0.8,median,qi,2020
2021,18.232067665306367,17.405667415194635,19.05750830077964,0.8,median,qi,2021
2022,18.16163928327545,17.3877600641377,18.940726822703333,0.8,median,qi,2022
1978,17.47407810031095,14.87474435368653,20.21797045270592,0.95,median,qi,1978
1979,17.376301263186708,14.419605369495965,20.32989800317357,0.95,median,qi,1979
1980,16.19833888806805,13.041706533278697,19.401817570096284,0.95,median,qi,1980
1981,17.34175936675289,14.340396367518037,20.41146732091495,0.95,median,qi,1981
1982,17.46300502074628,14.432632439560527,20.514508019047057,0.95,median,qi,1982
1983,17.623523637869596,14.219572993891026,21.02626887256815,0.95,median,qi,1983
1984,17.63245109713692,16.053294832373062,19.286661104314568,0.95,median,qi,1984
1985,18.409321160601824,17.04833317251445,19.81446223401848,0.95,median,qi,1985
1986,19.20568291433781,17.909481006570438,20.536291240785314,0.95,median,qi,1986
